CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_VALUE
CHEMBL238897,COc1cccc(CNS(=O)(=O)Nc2ccc3NC(=NS(=O)(=O)c3c2)C4=C(O)c5cccnc5N(CCC(C)C)C4=O)c1,15
CHEMBL3651434,CNC(=O)c1c(oc2ccc(c(F)c12)c3cc(cc(F)c3C)C(=O)NC4(COC4)c5ccccn5)c6ccc(F)cc6,16
CHEMBL374567,CN(C(=O)C)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,16
CHEMBL386508,Cn1c(c2cocc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,16
CHEMBL378470,NS(=O)(=O)c1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,16
CHEMBL179673,CN(C)C(=O)Cn1c(c2ccc(C)cc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,17
CHEMBL3651433,CNC(=O)c1c(oc2ccc(c(F)c12)c3cc(C(=O)NC4(COC4)c5ccccn5)c(OC)cc3C)c6ccc(F)cc6,17
CHEMBL386319,OC(=O)c1ccc2c(C3CCCCC3)c4c5ccc(OCc6ccccc6)cc5OCCn4c2c1,17
CHEMBL191059,CN(C)C(=O)CN(C)C(=O)Cn1c(c2ccc(Cl)cc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,17
CHEMBL361156,CN(C)C(=O)Cn1c(c2cccc(F)c2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,18
CHEMBL179970,COc1ccc(cc1)c2c(C3CCCCC3)c4ccc(cc4n2CC(=O)N(C)C)C(=O)O,18
CHEMBL1204385,Cl.Cl.CN(C)CCN1CCn2c(c3ccccc13)c(C4CCCCC4)c5ccc(cc25)C(=O)O,18
CHEMBL411712,OC(=O)c1ccc2c(c1)nc(c3ccc(OCc4cc(ccc4c5ccc(Cl)cc5)C(=O)N6CCCCC6)cc3F)n2C7CCCCC7,18
CHEMBL211639,CNC(=O)c1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,18
CHEMBL211849,CC(=O)c1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,18
CHEMBL189054,CN(CC1CCCN(C)C1)C(=O)Cn2c(c3ccccc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,18
CHEMBL364942,CN(C)C(=O)Cn1c(c2cccc(CN3CCCC(F)(F)C3)c2)c(C4CCCCC4)c5ccc(cc15)C(=O)O,18
CHEMBL193242,CN(C)C1CCN(CC1)C(=O)Cn2c(C3=CCCCC3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,18
CHEMBL205341,CC(C)CCN1[C@H](C(=C(C1=O)C2=NS(=O)(=O)c3ccccc3N2)O)C(C)(C)C,18
CHEMBL208817,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)Nc5ccc(cc5)C(=O)N)ccc4N3,18
CHEMBL215056,CN1CCn2c(c3ccccc13)c(C4CCCCC4)c5ccc(cc25)C(=O)O,19
CHEMBL366574,OC(=O)COc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(c5cocc5)n4C6CCCCC6)C(=O)O)c2c1,19
CHEMBL377813,CCN(C(=O)C)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,19
CHEMBL362572,CS(=O)(=O)N1CCN(CC1)C(=O)Cn2c(c3ccccc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,19
CHEMBL176905,OC(=O)[C@H](Cc1c[nH]c2ccc(cc12)C(=O)O)NC(=O)c3ccc4c(c3)nc(c5cocc5)n4C6CCCCC6,20
CHEMBL378727,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)Nc5ccc(cc5)C(=O)O)ccc4N3,20
CHEMBL208945,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NCCC(=O)N)ccc4N3,20
CHEMBL202317,CC(C)CCN1C(=O)C(=C(O)c2cc(F)ccc12)C3=NS(=O)(=O)c4ccccc4N3,20
CHEMBL1203925,Cl.OC(=O)c1ccc2c(C3CCCCC3)c4c5ccccc5NCCn4c2c1,21
CHEMBL202405,CC(C)(C)CCN1C(=O)C(=C(O)c2ccccc12)C3=NS(=O)(=O)c4ccccc4N3,21
CHEMBL380002,CC(C)N(C(=O)C)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,21
CHEMBL214365,CCCNC(=O)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,21
CHEMBL212728,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NC(=O)OCCN)ccc4N3,21
CHEMBL213807,OCCNC(=O)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,21
CHEMBL425221,CC(C)CCN1C(=O)C(=C(O)c2cc(NCC(=O)O)ccc12)C3=NS(=O)(=O)c4ccccc4N3,21
CHEMBL214864,Cn1c(c2cocc2)c(C3CCCC3)c4ccc(cc14)C(=O)O,21
CHEMBL379931,CC(=O)Nc1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,22
CHEMBL3651436,CNC(=O)c1c(oc2ccc(c(F)c12)c3cc(C(=O)NC4(COC4)c5ncccn5)c(OC)cc3C)c6ccc(F)cc6,22
CHEMBL204628,CC(C)(C)[C@@H]1N(Cc2ccccc2)C(=O)C(=C1O)C3=NS(=O)(=O)c4ccccc4N3,22
CHEMBL208585,CN(C)C(=O)Nc1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,22
CHEMBL379033,COc1ccc2N(CCC(C)C)C(=O)C(=C(O)c2c1)C3=NS(=O)(=O)c4ccccc4N3,23
CHEMBL378469,CN(C)S(=O)(=O)c1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,23
CHEMBL3651432,CNC(=O)c1c(oc2ccc(c(F)c12)c3cc(ccc3C)C(=O)NC4(COC4)c5ccccn5)c6ccc(F)cc6,24
CHEMBL385407,CN(C)C(=O)CN1CCn2c(c3ccccc13)c(C4CCCCC4)c5ccc(cc25)C(=O)O,24
CHEMBL210674,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NN5CCC5)ccc4N3,24
CHEMBL376462,OC(=O)c1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,24
CHEMBL380686,CC(C)CCN1C(=O)C(=C(O)c2cc(OCC(=O)N)ccc12)C3=NS(=O)(=O)c4ccccc4N3,24
CHEMBL383960,OC(=O)c1ccc2c(C3CCCC3)c([nH]c2c1)c4cocc4,25
CHEMBL179532,OC(=O)c1ccc2c(C3CCCCC3)c(c4ccccc4)n(CC(=O)N5CCOCC5)c2c1,26
CHEMBL216865,OC(=O)c1ccc2c(C3CCCCC3)c4c5ccccc5N(CCc6ccccc6)CCn4c2c1,26
CHEMBL386726,OC(=O)c1ccc2c(C3CCCCC3)c4c5ccccc5OCCn4c2c1,26
CHEMBL370203,OC1=C(C2=NS(=O)(=O)c3ccccc3N2)C(=O)N(Cc4cocc4)c5ccccc15,27
